"BehaviorSpace results (NetLogo 5.3.1)"
"B03A02.nlogo"
"experiment"
"11/09/2016 23:42:28:982 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3"
"world-size","20","20","20"
"bean-count","200","1681","5000"
"[reporter]","entropy","entropy","entropy"
"[final]","7.523856189774741","9.884061893812719","10.445865225342832"
"[min]","0","0","0"
"[max]","7.613856189774741","9.929288444406954","10.458377382705951"
"[mean]","7.3480209870543565","9.368427717073766","9.829491401297885"
"[steps]","500","500","500"

"[all run data]","entropy","entropy","entropy"
,"7.426307314753106","9.15096872326325","9.538456753883905"
,"7.3987584397314725","9.18146184399543","9.553036431426342"
,"7.410081752263924","9.160649627357346","9.561142829675063"
,"7.332532877242289","9.150216121405082","9.579027547495876"
,"7.430081752263924","9.133345324785145","9.58468425134533"
,"7.348758439731472","9.17545202730231","9.588292513718947"
,"7.402532877242289","9.198884185743076","9.577632850467706"
,"7.348758439731473","9.236624777293471","9.605273150462477"
,"7.378758439731473","9.233139872194872","9.621204276003066"
,"7.348758439731471","9.21998829513185","9.647574867985096"
,"7.3863073147531075","9.21252905116924","9.63847928489805"
,"7.282532877242289","9.248866837616974","9.635636951920375"
,"7.416307314753106","9.242161999321665","9.643456608211705"
,"7.3525328772422895","9.25711799429454","9.668617313753867"
,"7.298758439731469","9.247281960404761","9.677361850077286"
,"7.422532877242289","9.293432390317943","9.686511194879277"
,"7.338758439731471","9.27680141522633","9.69302901128802"
,"7.420081752263923","9.268514242566559","9.678994561871221"
,"7.356307314753107","9.306041764762774","9.699732013813815"
,"7.4700817522639245","9.307097021054785","9.718411328679714"
,"7.5038561897747424","9.318946876906438","9.735887899443357"
,"7.463856189774743","9.319264012255474","9.733623933312343"
,"7.4300817522639235","9.334728649621391","9.731090293180344"
,"7.360081752263923","9.319787143662975","9.750187959758177"
,"7.410081752263924","9.332461439526085","9.773876061505636"
,"7.3587584397314725","9.331416324802799","9.773689907553674"
,"7.311209564709838","9.332430607772906","9.77900784592434"
,"7.440081752263925","9.338570627737294","9.769111122829937"
,"7.470081752263924","9.352369147380555","9.789097766285224"
,"7.473856189774741","9.368380398645453","9.793442079358112"
,"7.4025328772422885","9.35248753772983","9.798615707952155"
,"7.450081752263923","9.39324360865432","9.813249979470308"
,"7.440081752263924","9.377514623515601","9.820116463142728"
,"7.3900817522639235","9.419974387891628","9.833254082397914"
,"7.4638561897747415","9.378387445800723","9.831773413004843"
,"7.418758439731472","9.377167664623792","9.830877042331984"
,"7.386307314753106","9.378077455839385","9.846676620787113"
,"7.4238561897747415","9.367217057100817","9.843337448753823"
,"7.460081752263926","9.420058525047859","9.864788997252898"
,"7.366307314753108","9.424733984466435","9.854550026866658"
,"7.490081752263924","9.422594979934372","9.857649712989637"
,"7.450081752263924","9.428876230598778","9.889215386552461"
,"7.372532877242289","9.477579786325139","9.89163405450853"
,"7.440081752263925","9.466362451285123","9.894995157016071"
,"7.430081752263926","9.487865152440813","9.901710702672851"
,"7.440081752263925","9.46617727719311","9.917135437706072"
,"7.406307314753107","9.507215999156482","9.907212279423536"
,"7.360081752263923","9.511265107187485","9.924172296140792"
,"7.453856189774742","9.508654886698446","9.93276579381732"
,"7.460081752263923","9.51541877292915","9.931734946880946"
,"7.460081752263923","9.488946933386396","9.929997943844596"
,"7.456307314753106","9.519367007552278","9.94781588212091"
,"7.426307314753109","9.506265825169017","9.95771150830693"
,"7.486307314753106","9.487680338282622","9.954999676353674"
,"7.470081752263925","9.500084766557718","9.977044621835738"
,"7.462532877242289","9.508757032511964","9.96997887751362"
,"7.386307314753107","9.521164823668963","9.973715984707905"
,"7.446307314753108","9.543891480687966","9.997615812264153"
,"7.450081752263924","9.507650390998215","9.986091131071534"
,"7.456307314753107","9.575140237341023","10.001517583784755"
,"7.523856189774742","9.541501016804016","10.008354125479341"
,"7.42253287724229","9.506169266171284","10.01847647439608"
,"7.426307314753108","9.567383957506228","10.040140905730393"
,"7.423856189774743","9.568964495372045","10.024233305506915"
,"7.450081752263922","9.591811929658627","10.030177975453732"
,"7.480081752263923","9.574065503580185","10.022406443871919"
,"7.446307314753107","9.547179011395427","10.034105701108436"
,"7.406307314753106","9.567468258190381","10.043873560756486"
,"7.446307314753106","9.54202440184308","10.047532072346707"
,"7.416307314753108","9.57249807735318","10.058718910748615"
,"7.493856189774742","9.522838604606148","10.069522620335018"
,"7.420081752263925","9.564427008741568","10.062508609117495"
,"7.412532877242288","9.576538963996763","10.07772865031847"
,"7.258758439731472","9.610853960615668","10.084269812747843"
,"7.470081752263925","9.599390410774069","10.081193690684934"
,"7.503856189774741","9.594571602235112","10.073139333587648"
,"7.446307314753106","9.612124764616114","10.086414176832674"
,"7.520081752263923","9.595028146305753","10.098741457042085"
,"7.450081752263924","9.581626524979843","10.108707129216892"
,"7.502532877242289","9.575969346219104","10.10385997652224"
,"7.450081752263924","9.604001236616186","10.114372077418627"
,"7.446307314753107","9.570146796558689","10.110237816321106"
,"7.473856189774741","9.588351818671143","10.111401641002152"
,"7.4358079874025576","9.602308830991971","10.118756135122576"
,"7.453856189774741","9.61379596899609","10.114248035933905"
,"7.496307314753106","9.618290036828412","10.123909316801383"
,"7.500081752263925","9.631815397392664","10.130411964694739"
,"7.5100817522639245","9.632281886626147","10.135389851921556"
,"7.466307314753108","9.622588782232935","10.122728838134387"
,"7.4363073147531065","9.61682400860312","10.141747590253374"
,"7.453856189774743","9.599827379172966","10.1426523662685"
,"7.483856189774741","9.632400703366324","10.138681076652423"
,"7.46253287724229","9.661496826021683","10.146353261214836"
,"7.52385618977474","9.620981096916742","10.150136580907844"
,"7.470081752263925","9.650638517759383","10.147081738294846"
,"7.490081752263925","9.629370611795958","10.170749824603755"
,"7.4300817522639235","9.659043301210733","10.164109672053822"
,"7.493856189774743","9.658372383634326","10.166160094479254"
,"7.450081752263925","9.63527498378631","10.154322730990614"
,"7.4425328772422885","9.68020664269644","10.18174050451175"
,"7.456307314753107","9.65450355944396","10.18114360054631"
,"7.460081752263922","9.658928595164257","10.197484710930432"
,"7.426307314753107","9.682756412394731","10.180044339597789"
,"7.473856189774742","9.707098877914392","10.181098553947711"
,"7.493856189774741","9.672494306253649","10.184182384976639"
,"7.553856189774742","9.68312366055984","10.184538914053856"
,"7.503856189774743","9.684024738040938","10.191455177890436"
,"7.4800817522639225","9.675859646800285","10.1982353545924"
,"7.470081752263924","9.678028073963988","10.202310087770481"
,"7.543856189774742","9.658730564397286","10.211222213811574"
,"7.500081752263924","9.675819715899012","10.186587712980115"
,"7.480081752263923","9.689603393361017","10.208408878035137"
,"7.450081752263924","9.681356839724266","10.217126881920585"
,"7.473856189774742","9.660476963546326","10.210739271793516"
,"7.523856189774742","9.711176660765224","10.213254309606576"
,"7.5038561897747424","9.71721769462509","10.229378267539204"
,"7.490081752263924","9.744554987847298","10.215107177531078"
,"7.500081752263924","9.685241030689738","10.202670957160972"
,"7.392532877242289","9.671181092997708","10.227202045587255"
,"7.456307314753106","9.714442753476467","10.224763561237037"
,"7.510081752263924","9.710272678538992","10.234541171868893"
,"7.480081752263924","9.69395038925719","10.226135805146926"
,"7.486307314753107","9.698123302482696","10.23032159378952"
,"7.473856189774741","9.708309427529992","10.234284284848547"
,"7.5100817522639245","9.71162573126027","10.224155286898682"
,"7.540081752263924","9.699829868933428","10.242341531380411"
,"7.4700817522639245","9.71208432729427","10.23978564348168"
,"7.500081752263926","9.738581255557015","10.258022329753603"
,"7.478758439731472","9.739704469794477","10.243722619579565"
,"7.520081752263924","9.688399989133082","10.257640034764133"
,"7.500081752263924","9.724705705632308","10.258094604107628"
,"7.462532877242289","9.726620384728747","10.260001081621507"
,"7.4700817522639245","9.69154348259838","10.265697192217525"
,"7.436307314753107","9.73213346225466","10.252420852498465"
,"7.513856189774742","9.747986325811977","10.247481911274207"
,"7.523856189774743","9.707083511139277","10.26707819204218"
,"7.513856189774741","9.745387879231163","10.263696218032722"
,"7.480081752263925","9.757072916220272","10.272974527937574"
,"7.503856189774741","9.737234791883703","10.271668490330278"
,"7.523856189774741","9.729105849038525","10.262019956470343"
,"7.503856189774742","9.714091298477353","10.2740952315414"
,"7.42203354989174","9.718794646391046","10.268644036662469"
,"7.480081752263925","9.735093315764438","10.28190290366319"
,"7.573856189774741","9.741246577316524","10.271999230356808"
,"7.450081752263924","9.750076384963602","10.291030165392636"
,"7.490081752263924","9.750658006634428","10.26948378596638"
,"7.413856189774742","9.71516929691716","10.292385342331391"
,"7.533856189774741","9.760709102151727","10.299983526593289"
,"7.533856189774742","9.791200162189979","10.294286065408782"
,"7.5438561897747425","9.772386140971342","10.280773936602127"
